Date,Country,Exchange rate
1973-03-08,Japan,261.44
1973-03-09,Japan,260.42
1973-03-12,Japan,257.07
1973-03-13,Japan,254.97
1973-03-14,Japan,254.45
1973-03-15,Japan,255.75
1973-03-16,Japan,260.08
1973-03-19,Japan,263.16
1973-03-20,Japan,263.16
1973-03-21,Japan,263.16
1973-03-22,Japan,263.50
1973-03-23,Japan,266.03
1973-03-26,Japan,265.53
1973-03-27,Japan,265.39
1973-03-28,Japan,265.60
1973-03-29,Japan,265.67
1973-03-30,Japan,265.96
1973-04-02,Japan,266.03
1973-04-03,Japan,265.46
1973-04-04,Japan,264.97
1973-04-05,Japan,264.55
1973-04-06,Japan,264.76
1973-04-09,Japan,265.53
1973-04-10,Japan,265.53
1973-04-11,Japan,265.67
1973-04-12,Japan,266.03
1973-04-13,Japan,265.89
1973-04-16,Japan,265.60
1973-04-17,Japan,265.46
1973-04-18,Japan,265.46
1973-04-19,Japan,265.53
1973-04-20,Japan,265.60
1973-04-23,Japan,265.60
1973-04-24,Japan,265.46
1973-04-25,Japan,265.46
1973-04-26,Japan,265.60
1973-04-27,Japan,265.60
1973-04-30,Japan,265.53
1973-05-01,Japan,265.53
1973-05-02,Japan,265.53
1973-05-03,Japan,265.53
1973-05-04,Japan,265.53
1973-05-07,Japan,265.53
1973-05-08,Japan,265.67
1973-05-09,Japan,265.04
1973-05-10,Japan,265.04
1973-05-11,Japan,265.46
1973-05-14,Japan,264.76
1973-05-15,Japan,262.47
1973-05-16,Japan,262.95
1973-05-17,Japan,264.48
1973-05-18,Japan,264.27
1973-05-21,Japan,262.95
1973-05-22,Japan,263.57
1973-05-23,Japan,264.20
1973-05-24,Japan,264.55
1973-05-25,Japan,264.83
1973-05-28,Japan,
1973-05-29,Japan,264.90
1973-05-30,Japan,264.83
1973-05-31,Japan,264.69
1973-06-01,Japan,264.06
1973-06-04,Japan,262.88
1973-06-05,Japan,262.88
1973-06-06,Japan,264.13
1973-06-07,Japan,264.27
1973-06-08,Japan,264.41
1973-06-11,Japan,264.69
1973-06-12,Japan,264.69
1973-06-13,Japan,264.62
1973-06-14,Japan,264.69
1973-06-15,Japan,264.69
1973-06-18,Japan,264.69
1973-06-19,Japan,264.83
1973-06-20,Japan,264.97
1973-06-21,Japan,265.04
1973-06-22,Japan,265.04
1973-06-25,Japan,265.18
1973-06-26,Japan,265.18
1973-06-27,Japan,265.18
1973-06-28,Japan,265.18
1973-06-29,Japan,263.16
1973-07-02,Japan,265.25
1973-07-03,Japan,265.04
1973-07-04,Japan,
1973-07-05,Japan,265.11
1973-07-06,Japan,262.12
1973-07-09,Japan,259.40
1973-07-10,Japan,263.16
1973-07-11,Japan,264.83
1973-07-12,Japan,264.76
1973-07-13,Japan,265.04
1973-07-16,Japan,265.11
1973-07-17,Japan,265.25
1973-07-18,Japan,265.11
1973-07-19,Japan,265.18
1973-07-20,Japan,265.60
1973-07-23,Japan,266.17
1973-07-24,Japan,265.60
1973-07-25,Japan,265.53
1973-07-26,Japan,265.60
1973-07-27,Japan,264.76
1973-07-30,Japan,263.57
1973-07-31,Japan,263.44
1973-08-01,Japan,263.44
1973-08-02,Japan,264.76
1973-08-03,Japan,265.39
1973-08-06,Japan,265.11
1973-08-07,Japan,265.25
1973-08-08,Japan,265.18
1973-08-09,Japan,265.11
1973-08-10,Japan,265.25
1973-08-13,Japan,265.46
1973-08-14,Japan,265.46
1973-08-15,Japan,265.46
1973-08-16,Japan,265.39
1973-08-17,Japan,265.53
1973-08-20,Japan,265.60
1973-08-21,Japan,265.18
1973-08-22,Japan,265.25
1973-08-23,Japan,265.25
1973-08-24,Japan,265.25
1973-08-27,Japan,265.32
1973-08-28,Japan,265.32
1973-08-29,Japan,265.32
1973-08-30,Japan,265.39
1973-08-31,Japan,265.39
1973-09-03,Japan,
1973-09-04,Japan,265.46
1973-09-05,Japan,265.39
1973-09-06,Japan,265.39
1973-09-07,Japan,265.39
1973-09-10,Japan,265.39
1973-09-11,Japan,265.46
1973-09-12,Japan,265.60
1973-09-13,Japan,265.60
1973-09-14,Japan,265.60
1973-09-17,Japan,265.53
1973-09-18,Japan,265.53
1973-09-19,Japan,265.46
1973-09-20,Japan,265.39
1973-09-21,Japan,265.25
1973-09-24,Japan,265.39
1973-09-25,Japan,265.46
1973-09-26,Japan,265.53
1973-09-27,Japan,265.60
1973-09-28,Japan,265.60
1973-10-01,Japan,265.60
1973-10-02,Japan,265.75
1973-10-03,Japan,265.89
1973-10-04,Japan,265.96
1973-10-05,Japan,266.17
1973-10-08,Japan,
1973-10-09,Japan,266.31
1973-10-10,Japan,266.31
1973-10-11,Japan,266.24
1973-10-12,Japan,266.24
1973-10-15,Japan,266.45
1973-10-16,Japan,266.45
1973-10-17,Japan,266.38
1973-10-18,Japan,266.31
1973-10-19,Japan,266.38
1973-10-22,Japan,
1973-10-23,Japan,266.45
1973-10-24,Japan,266.38
1973-10-25,Japan,266.45
1973-10-26,Japan,266.67
1973-10-29,Japan,266.74
1973-10-30,Japan,266.95
1973-10-31,Japan,266.95
1973-11-01,Japan,270.27
1973-11-02,Japan,276.01
1973-11-05,Japan,275.18
1973-11-06,Japan,
1973-11-07,Japan,275.18
1973-11-08,Japan,275.25
1973-11-09,Japan,275.33
1973-11-12,Japan,275.25
1973-11-13,Japan,280.19
1973-11-14,Japan,280.66
1973-11-15,Japan,280.27
1973-11-16,Japan,280.11
1973-11-19,Japan,280.11
1973-11-20,Japan,280.43
1973-11-21,Japan,280.11
1973-11-22,Japan,
1973-11-23,Japan,280.66
1973-11-26,Japan,280.11
1973-11-27,Japan,280.11
1973-11-28,Japan,279.80
1973-11-29,Japan,280.11
1973-11-30,Japan,280.11
1973-12-03,Japan,280.11
1973-12-04,Japan,280.11
1973-12-05,Japan,280.11
1973-12-06,Japan,280.11
1973-12-07,Japan,280.11
1973-12-10,Japan,280.11
1973-12-11,Japan,280.11
1973-12-12,Japan,280.03
1973-12-13,Japan,280.11
1973-12-14,Japan,280.11
1973-12-17,Japan,280.11
1973-12-18,Japan,280.11
1973-12-19,Japan,280.11
1973-12-20,Japan,280.11
1973-12-21,Japan,280.11
1973-12-24,Japan,280.35
1973-12-25,Japan,
1973-12-26,Japan,280.27
1973-12-27,Japan,280.66
1973-12-28,Japan,280.43
1973-12-31,Japan,280.27
1974-01-01,Japan,
1974-01-02,Japan,280.82
1974-01-03,Japan,283.69
1974-01-04,Japan,282.09
1974-01-07,Japan,300.30
1974-01-08,Japan,299.94
1974-01-09,Japan,299.94
1974-01-10,Japan,299.94
1974-01-11,Japan,300.03
1974-01-14,Japan,300.12
1974-01-15,Japan,300.12
1974-01-16,Japan,300.12
1974-01-17,Japan,300.12
1974-01-18,Japan,300.12
1974-01-21,Japan,305.34
1974-01-22,Japan,304.88
1974-01-23,Japan,303.58
1974-01-24,Japan,300.12
1974-01-25,Japan,299.80
1974-01-28,Japan,299.85
1974-01-29,Japan,300.03
1974-01-30,Japan,299.22
1974-01-31,Japan,298.77
1974-02-01,Japan,298.86
1974-02-04,Japan,297.00
1974-02-05,Japan,293.69
1974-02-06,Japan,297.62
